# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.35,2,156,454.5,160,-130,1.2,1
trayectoria,0.35,3,640.5,461.5,-170,-110,0.8,1
trayectoria,0.36,0,154,143.2,150,120,1,1
trayectoria,0.36,1,635.2,150.4,-180,140,1.5,1
trayectoria,0.36,2,157.6,453.2,160,-130,1.2,1
trayectoria,0.36,3,638.8,460.4,-170,-110,0.8,1
trayectoria,0.37,0,155.5,144.4,150,120,1,1
trayectoria,0.37,1,633.4,151.8,-180,140,1.5,1
trayectoria,0.37,2,159.2,451.9,160,-130,1.2,1
trayectoria,0.37,3,637.1,459.3,-170,-110,0.8,1
trayectoria,0.38,0,157,145.6,150,120,1,1
trayectoria,0.38,1,631.6,153.2,-180,140,1.5,1
trayectoria,0.38,2,160.8,450.6,160,-130,1.2,1
trayectoria,0.38,3,635.4,458.2,-170,-110,0.8,1
trayectoria,0.39,0,158.5,146.8,150,120,1,1
trayectoria,0.39,1,629.8,154.6,-180,140,1.5,1
trayectoria,0.39,2,162.4,449.3,160,-130,1.2,1
trayectoria,0.39,3,633.7,457.1,-170,-110,0.8,1
trayectoria,0.4,0,160,148,150,120,1,1
trayectoria,0.4,1,628,156,-180,140,1.5,1
trayectoria,0.4,2,164,448,160,-130,1.2,1
trayectoria,0.4,3,632,456,-170,-110,0.8,1
trayectoria,0.41,0,161.5,149.2,150,120,1,1
trayectoria,0.41,1,626.2,157.4,-180,140,1.5,1
trayectoria,0.41,2,165.6,446.7,160,-130,1.2,1
trayectoria,0.41,3,630.3,454.9,-170,-110,0.8,1
trayectoria,0.42,0,163,150.4,150,120,1,1
trayectoria,0.42,1,624.4,158.8,-180,140,1.5,1
trayectoria,0.42,2,167.2,445.4,160,-130,1.2,1
trayectoria,0.42,3,628.6,453.8,-170,-110,0.8,1
trayectoria,0.43,0,164.5,151.6,150,120,1,1
trayectoria,0.43,1,622.6,160.2,-180,140,1.5,1
trayectoria,0.43,2,168.8,444.1,160,-130,1.2,1
trayectoria,0.43,3,626.9,452.7,-170,-110,0.8,1
trayectoria,0.44,0,166,152.8,150,120,1,1
trayectoria,0.44,1,620.8,161.6,-180,140,1.5,1
trayectoria,0.44,2,170.4,442.8,160,-130,1.2,1
trayectoria,0.44,3,625.2,451.6,-170,-110,0.8,1
trayectoria,0.45,0,167.5,154,150,120,1,1
trayectoria,0.45,1,619,163,-180,140,1.5,1
trayectoria,0.45,2,172,441.5,160,-130,1.2,1
trayectoria,0.45,3,623.5,450.5,-170,-110,0.8,1
trayectoria,0.46,0,169,155.2,150,120,1,1
trayectoria,0.46,1,617.2,164.4,-180,140,1.5,1
trayectoria,0.46,2,173.6,440.2,160,-130,1.2,1
trayectoria,0.46,3,621.8,449.4,-170,-110,0.8,1
trayectoria,0.47,0,170.5,156.4,150,120,1,1
trayectoria,0.47,1,615.4,165.8,-180,140,1.5,1
trayectoria,0.47,2,175.2,438.9,160,-130,1.2,1
trayectoria,0.47,3,620.1,448.3,-170,-110,0.8,1
trayectoria,0.48,0,172,157.6,150,120,1,1
