# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.32,3,484,418,-50,-100,0.8,1
trayectoria,0.33,0,233,300,100,0,1,1
trayectoria,0.33,1,567,300,-100,0,1,1
trayectoria,0.33,2,316.5,183,50,100,0.8,1
trayectoria,0.33,3,483.5,417,-50,-100,0.8,1
trayectoria,0.34,0,234,300,100,0,1,1
trayectoria,0.34,1,566,300,-100,0,1,1
trayectoria,0.34,2,317,184,50,100,0.8,1
trayectoria,0.34,3,483,416,-50,-100,0.8,1
trayectoria,0.35,0,235,300,100,0,1,1
trayectoria,0.35,1,565,300,-100,0,1,1
trayectoria,0.35,2,317.5,185,50,100,0.8,1
trayectoria,0.35,3,482.5,415,-50,-100,0.8,1
trayectoria,0.36,0,236,300,100,0,1,1
trayectoria,0.36,1,564,300,-100,0,1,1
trayectoria,0.36,2,318,186,50,100,0.8,1
trayectoria,0.36,3,482,414,-50,-100,0.8,1
trayectoria,0.37,0,237,300,100,0,1,1
trayectoria,0.37,1,563,300,-100,0,1,1
trayectoria,0.37,2,318.5,187,50,100,0.8,1
trayectoria,0.37,3,481.5,413,-50,-100,0.8,1
trayectoria,0.38,0,238,300,100,0,1,1
trayectoria,0.38,1,562,300,-100,0,1,1
trayectoria,0.38,2,319,188,50,100,0.8,1
trayectoria,0.38,3,481,412,-50,-100,0.8,1
trayectoria,0.39,0,239,300,100,0,1,1
trayectoria,0.39,1,561,300,-100,0,1,1
trayectoria,0.39,2,319.5,189,50,100,0.8,1
trayectoria,0.39,3,480.5,411,-50,-100,0.8,1
trayectoria,0.4,0,240,300,100,0,1,1
trayectoria,0.4,1,560,300,-100,0,1,1
trayectoria,0.4,2,320,190,50,100,0.8,1
trayectoria,0.4,3,480,410,-50,-100,0.8,1
trayectoria,0.41,0,241,300,100,0,1,1
trayectoria,0.41,1,559,300,-100,0,1,1
trayectoria,0.41,2,320.5,191,50,100,0.8,1
trayectoria,0.41,3,479.5,409,-50,-100,0.8,1
trayectoria,0.42,0,242,300,100,0,1,1
trayectoria,0.42,1,558,300,-100,0,1,1
trayectoria,0.42,2,321,192,50,100,0.8,1
trayectoria,0.42,3,479,408,-50,-100,0.8,1
trayectoria,0.43,0,243,300,100,0,1,1
trayectoria,0.43,1,557,300,-100,0,1,1
trayectoria,0.43,2,321.5,193,50,100,0.8,1
trayectoria,0.43,3,478.5,407,-50,-100,0.8,1
trayectoria,0.44,0,244,300,100,0,1,1
trayectoria,0.44,1,556,300,-100,0,1,1
trayectoria,0.44,2,322,194,50,100,0.8,1
